
🇨🇳央视,#genre#
CCTV-16奥运,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-17农业,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv17/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-17农业,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业,http://117.148.179.177/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-4K超高清,http://liveop.cctv.cn/hls/4KHD/playlist.m3u8
CCTV-4K超高清,https://p.ggiptv.com/v/4k.m3u8
CCTV-8K超高清,http://hms2864nc1972666629.live.aikan.miguvideo.com/wh7f454c46tw1282884058_649677011/PLTV/88888888/224/3221233413/index.m3u8?icpid=88888888&RTS=1644909332&from=12&hms_devid=2864&online=1644909332EQbBsN1cd87ZS1LRd3TXf5LH0Ql8IEhnGwO+75IdBOPtEbjPb9jhieBCtTUAr9dv5ZbZ4EessCEDFzP4cGUE71B0UFe79pybuMPoFbNny1A5gXy7m59YoE1AMvcRYl8Pvf6NHAGt8pY/1XkpmVDXg:20220202020202,id=01
CCTV-8K超高清,http://117.148.179.148/PLTV/88888888/224/3221233350/1.m3u8
CCTV-8K超高清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233413/index.m3u8
CCTV-8K超高清,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221233454/index.m3u8
CCTV-精品记录,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/1.m3u8
CCTV-精品记录,http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/1.m3u8
CCTV-第一剧场,http://117.148.179.172/PLTV/88888888/224/3221231540/index.m3u8
CCTV-第一剧场,http://117.148.179.172/TVOD/88888888/224/3221231540/index.m3u8
CCTV-第一剧场,http://117.148.179.147/PLTV/88888888/224/3221231540/index.m3u8
CCTV-怀旧剧场,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
CCTV-怀旧剧场,http://117.148.179.158/TVOD/88888888/224/3221231544/index.m3u8
CCTV-怀旧剧场,http://117.148.179.147/PLTV/88888888/224/3221231544/index.m3u8
CCTV-电视指南,http://117.148.179.147/PLTV/88888888/224/3221231571/index.m3u8
CCTV-风云剧场,http://117.148.179.147/PLTV/88888888/224/3221231604/index.m3u8
CCTV-风云剧场,http://117.148.179.162/PLTV/88888888/224/3221231604/index.m3u8
CCTV-风云剧场,http://117.148.179.163/PLTV/88888888/224/3221231604/index.m3u8?icpid=88888888&from=8&hms_devid=144,304&prioritypopid=8&online=1648529277
CCTV-风云剧场,http://117.148.179.162/TVOD/88888888/224/3221231604/index.m3u8
CCTV-风云剧场,http://42.176.185.28:9901/tsfile/live/1030_1.m3u8
CCTV-风云足球,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
CCTV-风云足球,http://117.148.179.137/TVOD/88888888/224/3221231547/index.m3u8
CCTV-世界地理,http://117.148.179.156/PLTV/88888888/224/3221231537/index.m3u8
CCTV-世界地理,http://117.148.179.147/PLTV/88888888/224/3221231537/index.m3u8
CCTV-世界地理,http://117.148.179.156/TVOD/88888888/224/3221231537/index.m3u8
CCTV-女性时尚,http://117.148.179.167/PLTV/88888888/224/3221231598/index.m3u8
CCTV-女性时尚,http://117.148.179.147/PLTV/88888888/224/3221231598/index.m3u8
CCTV-女性时尚,http://117.148.179.167/TVOD/88888888/224/3221231598/index.m3u8
CCTV-央视台球,http://117.148.179.167/PLTV/88888888/224/3221231616/index.m3u8
CCTV-央视台球,http://117.148.179.167/TVOD/88888888/224/3221231616/index.m3u8
CCTV-兵器科技,http://117.148.179.163:80/PLTV/88888888/224/3221231573/index.m3u8?icpid=88888888&from=2&hms_devid=144
CCTV-兵器科技,http://117.148.179.163/PLTV/88888888/224/3221231573/index.m3u8
CCTV-文化精品,http://117.148.179.147/PLTV/88888888/224/3221231561/index.m3u8
CCTV-文化精品,http://117.148.179.147/TVOD/88888888/224/3221231561/index.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
CNC英文,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC英文,http://39.134.115.163:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC中文,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC中文,http://39.134.115.163:8080/PLTV/88888910/224/3221225694/index.m3u8
CGTN中文,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN中文,http://117.148.179.174/TVOD/88888888/224/3221231592/index.m3u8
CGTN中文,http://117.148.179.174/PLTV/88888888/224/3221231592/index.m3u8
CGTN记录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN记录,http://117.148.179.144/TVOD/88888888/224/3221231492/index.m3u8
CGTN记录,http://117.148.179.144/TVOD/88888888/224/3221231492/index.m3u8
CGTN记录,http://117.148.179.144/PLTV/88888888/224/3221231492/index.m3u8
CGTN阿拉语,http://117.148.179.163/TVOD/88888888/224/3221231579/index.m3u8
CGTN俄语,http://117.148.179.179/TVOD/88888888/224/3221231591/index.m3u8
CGTN法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN法语,http://117.148.179.156/TVOD/88888888/224/3221231550/index.m3u8
CGTN法语,http://117.148.179.156/PLTV/88888888/224/3221231550/index.m3u8
CGTN西班牙语,http://117.148.179.176/TVOD/88888888/224/3221231546/index.m3u8
CETV①教育台,http://111.63.117.13:6060/030000001000/G_CETV-1/G_CETV-1.m3u8
CETV①教育台,http://117.148.179.156/PLTV/88888888/224/3221231714/index.m3u8
CETV①教育台,http://112.17.40.218/PLTV/88888888/224/3221231714/index.m3u8
CETV①教育台,http://117.148.179.149/PLTV/88888888/224/3221231552/index.m3u8
CETV②教育台,http://111.63.117.13:6060/030000001000/G_CETV-2/G_CETV-2.m3u8
CETV②教育台,http://117.148.179.162/PLTV/88888888/224/3221231607/index.m3u8
CETV③教育台,http://117.148.179.136/PLTV/88888888/224/3221231543/index.m3u8
CETV④教育台,http://117.148.179.155/PLTV/88888888/224/3221231613/index.m3u8
CETV④教育台,http://111.63.117.13:6060/030000001000/G_CETV-4/G_CETV-4.m3u8
CCTV移动电视,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8
清华大学电视台,http://live.cic.tsinghua.edu.cn/hls/tsinghuatv.m3u8




CCTV-1综合,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8?$超高清
CCTV-1综合,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8?$咪咕高清
CCTV-1综合,http://39.134.66.4/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv1/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-1综合http://117.148.179.165/PLTV/88888888/224/3221231468/index.m3u8?1080P
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8?$咪咕高清
CCTV-2财经,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-2财经,http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv2/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-2财经,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8?1080P
CCTV-3综艺,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv3/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-3综艺,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV-3综艺,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-4国际,http://117.148.179.163/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4国际,http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV-4国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4国际,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv4/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-4国际,http://117.148.179.157/PLTV/88888888/224/3221231726/index.m3u8?1080P
CCTV-4欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4欧洲,http://117.148.179.162/TVOD/88888888/224/3221231615/index.m3u8
CCTV-4欧洲,http://117.148.179.157/PLTV/88888888/224/3221231615/index.m3u8?1080P
CCTV-4欧洲,http://117.148.179.157/PLTV/88888888/224/3221232852/index.m3u8?1080P
CCTV-4美洲,http://112.17.40.220/PLTV/88888888/224/3221231654/index.m3u8?icpid=88888888&from=1&hms_devid=264,503
CCTV-4美洲,http://117.148.179.157/PLTV/88888888/224/3221231654/index.m3u8?1080P
CCTV-4美洲,http://117.148.179.157/PLTV/88888888/224/3221232866/index.m3u8?1080P
CCTV-5体育,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8
CCTV-5+赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+赛事,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV-5+赛事,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV-5+赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+赛事,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv05plus/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-6电影,http://111.20.33.93/TVOD/88888893/224/3221226393/index.m3u8
CCTV-6电影,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv6/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-6电影,http://117.148.179.157/PLTV/88888888/224/3221232689/index.m3u8?1080P
CCTV-7国防军事,http://39.135.32.7:6610/000000001000/cctv-7/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-7国防军事,http://117.148.179.157/PLTV/88888888/224/3221231633/index.m3u8?1080P
CCTV-8电视剧,http://117.148.179.163/PLTV/88888888/224/3221231694/index.m3u8
CCTV-8电视剧,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv8/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-8电视剧,http://117.148.179.157/PLTV/88888888/224/3221231694/index.m3u8?1080P
CCTV-9纪录,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV-9纪录,http://111.20.33.93/TVOD/88888893/224/3221226197/index.m3u8
CCTV-9纪录,http://117.148.179.163/PLTV/88888888/224/3221231697/index.m3u8
CCTV-9纪录,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv9/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-9纪录,http://117.148.179.157/PLTV/88888888/224/3221231697/index.m3u8?1080P
CCTV-10科教,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV-10科教,http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8
CCTV-10科教,http://117.148.179.163/PLTV/88888888/224/3221231666/index.m3u8
CCTV-10科教,http://39.135.32.7:6610/000000001000/cctv-10/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-10科教,http://117.148.179.157/PLTV/88888888/224/3221231666/index.m3u8?1080P
CCTV-11戏曲,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV-11戏曲,http://39.134.115.163:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV-11戏曲,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv11/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-11戏曲,http://117.148.179.157/PLTV/88888888/224/3221231711/index.m3u8?1080P
CCTV-12社会与法,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV-12社会与法,http://117.148.179.163/PLTV/88888888/224/3221231660/index.m3u8
CCTV-12社会与法,http://39.135.32.7:6610/000000001000/cctv-12/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-12社会与法,http://117.148.179.157/PLTV/88888888/224/3221231660/index.m3u8?1080P
CCTV-13新闻,http://39.134.65.181/PLTV/88888888/224/3221225812/1.m3u8?$高清
CCTV-13新闻,http://112.17.40.218/PLTV/88888888/224/3221231636/index.m3u8
CCTV-13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV-13新闻,http://183.207.249.11/PLTV/3/224/3221225560/index.m3u8?1080P
CCTV-14少儿,http://111.20.33.93/TVOD/88888893/224/3221226193/index.m3u8
CCTV-14少儿,http://39.135.32.7:6610/000000001000/cctv-14/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-14少儿,http://117.148.179.157/PLTV/88888888/224/3221231648/index.m3u8?1080P
CCTV-15音乐,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv15/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-15音乐,http://39.134.65.173/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15音乐,http://39.134.65.183/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15音乐,http://39.134.65.175/PLTV/88888888/224/3221225513/1.m3u8
CCTV-15音乐,http://117.148.179.157/PLTV/88888888/224/3221231693/index.m3u8?1080P
CCTV-16奥运,http://liveop.cctv.cn/hls/CCTV16HD/playlist.m3u8
CCTV-16奥运,http://39.135.32.7:6610/000000001000/HD-8000k-1080P-cctv16/1.m3u8?IASHttpSessionId=OTT?1080P
CCTV-17农业,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8
CCTV-17农业,http://117.148.179.177/PLTV/88888888/224/3221231772/index.m3u8
CCTV-17农业,http://39.135.32.7:6610/000000001000/HD-4000k-1080P-cctv17/1.m3u8?IASHttpSessionId=OTT?1080P
